castles,cavalry_units,commands,duration_seconds,econ_structures,infantry_units,kills,kl_ratio,losses,map_name,players,production_structures,ranged_units,replay_id,result,siege_units,source_name,static_defense,structures_done,style_label,team_id,units_born,upgrades,walls_gates
7,1,160,4905,17,646,905,0.805,1124,Age of Knights,Player 4,17,126,0842af3bba4fc343,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (23).SC2Replay,23,49,Infantry-frontline-heavy team,3,1070,28,0
0,1,0,4905,23,512,341,0.35,973,Age of Knights,Player 5,16,94,0842af3bba4fc343,Loss,34,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (23).SC2Replay,0,34,Infantry-frontline-heavy team,4,929,23,0
0,1,0,4905,24,49,79,0.545,145,Age of Knights,devbyzero,8,0,0842af3bba4fc343,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (23).SC2Replay,8,39,Infantry-frontline-heavy team,5,119,11,0
1,1,50,1216,6,17,50,0.617,81,Age of Knights,EvilPebbles,4,0,42a8cccfe71e1c9e,Undecided,15,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (24).SC2Replay,1,10,Infantry-frontline-heavy team,0,69,15,0
1,1,78,1216,15,142,151,0.993,152,Age of Knights,Player 2,11,16,42a8cccfe71e1c9e,Undecided,12,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (24).SC2Replay,4,27,Infantry-frontline-heavy team,1,291,26,0
2,1,4,1216,12,41,74,0.655,113,Age of Knights,Southern,14,0,42a8cccfe71e1c9e,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (24).SC2Replay,2,23,Infantry-frontline-heavy team,2,101,22,0
0,1,56,1216,0,0,6,0.3,20,Age of Knights,haidi,0,0,42a8cccfe71e1c9e,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (24).SC2Replay,0,0,Mobile cavalry-pressure team,3,20,19,0
1,1,130,1216,14,153,205,0.972,211,Age of Knights,Player 5,10,26,42a8cccfe71e1c9e,Undecided,12,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (24).SC2Replay,2,23,Infantry-frontline-heavy team,4,303,24,0
0,1,0,1216,6,0,32,0.39,82,Age of Knights,regensis,3,10,42a8cccfe71e1c9e,Loss,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (24).SC2Replay,1,10,Ranged/firepower-heavy team,5,69,22,0
1,1,0,1216,16,87,275,1.786,154,Age of Knights,nany,10,0,42a8cccfe71e1c9e,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (24).SC2Replay,3,28,Infantry-frontline-heavy team,6,159,20,0
1,1,0,1216,7,38,38,0.292,130,Age of Knights,Player 8,5,4,42a8cccfe71e1c9e,Loss,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (24).SC2Replay,1,11,Infantry-frontline-heavy team,7,116,13,0
0,1,72,1667,14,55,30,0.176,170,Age of Knights,UltraMarines,5,9,3937906f9a644319,Loss,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (25).SC2Replay,22,39,Infantry-frontline-heavy team,0,128,20,15
1,1,190,1667,26,303,255,1.635,156,Age of Knights,walrus,24,0,3937906f9a644319,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (25).SC2Replay,17,65,Infantry-frontline-heavy team,1,389,20,2
