cavalry_to_now,infantry_to_now,kills_to_now,losses_to_now,map_name,player_id,player_index,player_name,ranged_to_now,replay_id,result,siege_to_now,snapshot_minute,source_name,static_defense_to_now,structures_done_to_now,team_id,units_born_to_now,upgrades_to_now,walls_gates_to_now
1,10,0,4,Age of Knights,8,7,Player 8,0,6843f0df48c00171,Undecided,0,10,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,8,1,47,4,0
1,42,0,18,Age of Knights,8,7,Player 8,6,6843f0df48c00171,Undecided,0,15,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,15,1,107,4,0
1,80,0,75,Age of Knights,8,7,Player 8,16,6843f0df48c00171,Undecided,0,20,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,17,1,172,4,0
1,80,0,75,Age of Knights,8,7,Player 8,16,6843f0df48c00171,Undecided,0,25,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,17,1,172,4,0
1,80,0,75,Age of Knights,8,7,Player 8,16,6843f0df48c00171,Undecided,0,30,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,17,1,172,4,0
1,80,0,75,Age of Knights,8,7,Player 8,16,6843f0df48c00171,Undecided,0,45,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,17,1,172,4,0
1,80,0,75,Age of Knights,8,7,Player 8,16,6843f0df48c00171,Undecided,0,60,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,17,1,172,4,0
1,0,0,1,Age of Knights,1,0,shermanator,0,4cc0fa2abca29384,Win,0,5,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,1,0,17,8,0
3,0,0,3,Age of Knights,1,0,shermanator,0,4cc0fa2abca29384,Win,0,10,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,4,8,0,31,9,4
19,0,0,20,Age of Knights,1,0,shermanator,0,4cc0fa2abca29384,Win,0,15,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,8,20,0,55,9,8
